Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 17:00,2026-02-04T09:00:00.000Z,60,7.1,5.7,411.0,407.0,407.0,28.4,28.4,30.4,44.0,62.0,167.0,158.0,1.0,2.5,9.4,,,,,,,,,,,,,,,,,,,,,2026-02-04 17:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 18:00,2026-02-04T10:00:00.000Z,60,8.5,6.3,493.0,410.0,410.0,27.8,27.7,29.5,45.0,64.0,239.0,217.0,1.0,3.9,12.1,,,,,,,,,,,,,,,,,,,,,2026-02-04 18:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 19:00,2026-02-04T11:00:00.000Z,60,19.6,12.1,791.0,413.0,413.0,27.4,27.3,28.9,46.0,65.0,457.0,315.0,1.0,9.7,23.2,,,,,,,,,,,,,,,,,,,,,2026-02-04 19:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/4/2026 20:00,2026-02-04T12:00:00.000Z,60,28.2,16.6,1081.0,420.0,420.0,27.0,26.8,28.3,47.0,66.0,1102.0,461.0,1.0,19.1,32.6,,,,,,,,,,,,,,,,,,,,,2026-02-04 20:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/4/2026 21:00,2026-02-04T13:00:00.000Z,59,28.7,16.9,1117.0,423.0,423.0,26.8,26.5,27.5,48.0,68.0,1632.0,487.0,1.0,18.7,33.1,,,,,,,,,,,,,,,,,,,,,2026-02-04 21:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/4/2026 22:00,2026-02-04T14:00:00.000Z,6,24.5,14.4,954.0,423.0,423.0,26.7,26.4,27.1,48.0,68.0,2339.0,500.0,1.0,14.7,29.8,,,,,,,,,,,,,,,,,,,,,2026-02-04 22:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/5/2026 15:00,2026-02-05T07:00:00.000Z,9,2.9,3.2,280.0,414.0,414.0,26.6,26.3,27.2,47.0,66.0,79.0,81.0,1.0,0.1,4.0,,,,,,,,,,,,,,,,,,,,,2026-02-05 15:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/5/2026 17:00,2026-02-05T09:00:00.000Z,53,5.3,4.4,394.0,419.0,419.0,27.0,26.8,28.2,48.0,67.0,95.0,100.0,1.0,2.0,6.8,,,,,,,,,,,,,,,,,,,,,2026-02-05 17:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/5/2026 18:00,2026-02-05T10:00:00.000Z,60,14.0,9.1,648.0,415.0,415.0,27.3,27.1,28.7,47.0,66.0,292.0,250.0,1.0,6.4,17.9,,,,,,,,,,,,,,,,,,,,,2026-02-05 18:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/5/2026 19:00,2026-02-05T11:00:00.000Z,60,23.5,15.7,1065.0,424.0,424.0,27.3,27.1,28.6,46.0,66.0,480.0,278.0,1.0,13.3,27.9,,,,,,,,,,,,,,,,,,,,,2026-02-05 19:00:00+08:00
