"location_key","source","external_id","name","locality","country_iso","owner_name","provider_name","is_monitor","is_mobile","latitude","longitude","geom","created_at","updated_at"
"openaq:3652441","openaq","3652441","Soi Sukhumvit 31, High floor","NaN","TH","Dennis","AirGradient",False,False,13.73411,100.565955,"0101000020E61000007E00529B3824594047551344DD772B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:368390","openaq","368390","Thawee Wanarom Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7435329,100.3526893,"0101000020E61000008B4924769216594005002258B07C2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368391","openaq","368391","Suan Luang Rama IX","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.6881393,100.6579657,"0101000020E6100000F2D82A1C1C2A5940462F59CB53602B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368392","openaq","368392","Ramintra Sports Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.8778763,100.6207085,"0101000020E61000005AF624B0B9275940F2DD9C0079C12B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368393","openaq","368393","Rommani Thungsikan Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.9288678,100.5684666,"0101000020E610000092F7BBC1612459406D9D6E8F94DB2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368394","openaq","368394","Lumpini park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.732225,100.5448381,"0101000020E610000059479FA0DE22594090A0F831E6762B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368395","openaq","368395","Thonburirom Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.6502295,100.4909771,"0101000020E61000006FE5362B6C1F5940F3C98AE1EA4C2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368396","openaq","368396","Queen Sirikit Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.8055472,100.5488338,"0101000020E61000001F7CCD1720235940CCC4BEAE709C2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368397","openaq","368397","Rama VIII Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7693437,100.4945337,"0101000020E61000004611AD70A61F59406CC4DD6AE7892B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368398","openaq","368398","Santiphap Park","NaN","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7631081,100.541407,"0101000020E6100000D5B48B69A62259401AA0D91AB6862B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:368399","openaq","368399","Benjakitti Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7328791,100.5600172,"0101000020E6100000A4CC6152D723594005D8ECED3B772B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368400","openaq","368400","Bang Kho Laem District Office, Bangkok (Mobile)","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.69304,100.50244,"0101000020E6100000F20C1AFA27205940C2A38D23D6622B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368401","openaq","368401","Nong Chok Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.855656,100.8585539,"0101000020E61000009C960E8CF23659409A40118B18B62B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368402","openaq","368402","Serithai Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7855673,100.6733359,"0101000020E6100000416E75EF172B5940329D8CE035922B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368403","openaq","368403","Chatuchak Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.802546,100.5509191,"0101000020E6100000794F2F42422359403C122F4FE79A2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368404","openaq","368404","60th Anniversary of Queen Sirikit Park ,Kheha Romklao Road, Lat Krabang, Bangkok","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7631141,100.7302101,"0101000020E61000005EAD24C3BB2E5940A23B2DE4B6862B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368405","openaq","368405","Bang Khae Phirom Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.6863478,100.3844036,"0101000020E6100000BD9D8E119A185940F45C95FA685F2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368406","openaq","368406","80th Anniversary Commemoration Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7716446,100.4681128,"0101000020E6100000B2B5638FF51D59401F454200158B2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368407","openaq","368407","Wacchirabenchatat Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.8118516,100.5535825,"0101000020E6100000D4484BE56D2359401A694E03AB9F2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368408","openaq","368408","Phra Nakhon Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7201042,100.7807077,"0101000020E610000010CF6D1DF7315940AB6C697FB1702B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:368485","openaq","368485","Benchasiri Park","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.7304916,100.5684634,"0101000020E610000045FE4FB4612459406401B8FE02762B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:3990424","openaq","3990424","C5 Ext. Las Pinas","NaN","PH","Clarity","Clarity",False,False,14.47822,120.98664,"0101000020E61000003A3B191C253F5E4014967840D9F42C40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3990425","openaq","3990425","Along Shaw Blvd.","NaN","PH","Clarity","Clarity",False,False,14.57863,121.05675,"0101000020E61000001283C0CAA1435E400EF8FC3042282D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3990426","openaq","3990426","Near Sucat Interchange/Exit","NaN","PH","Clarity","Clarity",False,False,14.45627,121.04569,"0101000020E610000045F0BF95EC425E40B64AB0389CE92C40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4028033","openaq","4028033","Opposite Thammasat Chiang Rak 1 Gate - ชุมชนคุ้งผ้าพับ ธรรมศาสตร์ เชียงราก 1","NaN","TH","Tai D.","AirGradient",False,False,14.064706097742768,100.60502410138216,"0101000020E61000009A2E02B7B82659405E505B2821212C40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4049149","openaq","4049149","STRC","NaN","PH","EarthLab","AirGradient",False,False,14.56637517989103,120.9922368328637,"0101000020E610000051C2EACE803F5E40D3CB75EDFB212D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
